,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,pred_Linear_Regression,pred_Random_Forest_Regression,pred_Random_Forest_Regression1,pred_Gradient_Boosting_Regression,pred_Kernel_Ridge_Regression
0,0.0,0.0,1.0,0.0,0.0,1.0,2.53,1.19,2.2,0.9866121165228228,,1.5373846879744104,1.5375558879060578,,
84,0.0,0.1,0.9,0.0,0.0,1.0,2.493,1.19,2.2,0.9788944318904031,,1.5373846879744104,1.5375558879060578,,
165,0.0,0.2,0.8,0.0,0.0,1.0,2.456,1.19,2.2,0.971176747257984,,1.5373846879744104,1.5375558879060578,,1.5103166012772131
242,0.0,0.3,0.7,0.0,0.0,1.0,2.419,1.19,2.2,0.963459062625564,,1.5373846879744104,1.5375558879060578,,1.5206851198029931
320,0.0,0.4,0.6,0.0,0.0,1.0,2.382,1.19,2.2,0.9557413779931446,,1.5373846879744104,1.5375558879060578,1.504604234861531,1.5310536383287756
396,0.0,0.5,0.5,0.0,0.0,1.0,2.345,1.19,2.2,0.948023693360725,1.5081787109375,1.5373846879744104,1.5375558879060578,,1.541422156854556
473,0.0,0.6,0.4,0.0,0.0,1.0,2.308,1.19,2.2,0.9403060087283056,1.523681640625,1.5373846879744104,1.5375558879060578,,1.551790675380336
550,0.0,0.7,0.3,0.0,0.0,1.0,2.271,1.19,2.2,0.932588324095886,1.5391845703125,1.5382268618874542,1.538398061819101,,1.5621591939061168
628,0.0,0.8,0.2,0.0,0.0,1.0,2.234,1.19,2.2,0.9248706394634666,1.5548095703125,1.5382268618874542,1.538398061819101,1.520154073617236,1.5725277124318977
704,0.0,0.9,0.1,0.0,0.0,1.0,2.197,1.19,2.2,0.917152954831047,1.5703125,1.5534495460964768,1.5541091551190334,1.5097504695996953,1.5828962309576795
1500,0.1,0.0,0.9,0.0,0.0,1.0,2.4439999999999995,1.19,2.2,0.968673714404226,,1.5383365827112527,1.5375558879060578,1.5146901726607211,
1580,0.1,0.1,0.8,0.0,0.0,1.0,2.407,1.19,2.2,0.9609560297718064,,1.5383365827112527,1.5375558879060578,1.5180041652685403,1.5009855852804683
1657,0.1,0.2,0.7,0.0,0.0,1.0,2.37,1.19,2.2,0.953238345139387,,1.5383365827112527,1.5375558879060578,1.533078285349123,1.511354103806246
1733,0.1,0.3,0.6,0.0,0.0,1.0,2.333,1.19,2.2,0.9455206605069671,,1.5383365827112527,1.5375558879060578,1.5302721012030769,1.5217226223320268
