,xA/Cs,yA/MA,zA/FA,xC/Cl,yC/Br,zC/I,rA,rB,rC,TF,Gradient Boosting,Random Forest,Linear reg,Band Gap (DFT),
0,0,0,1,0.125,0.125,0.75,2.53,1.19,2.12125,0.993259469,1.610567822,1.627954163,,1.7428,?
1,0.25,0.625,0.125,0.125,0.125,0.75,2.08375,1.19,2.12125,0.897964217,1.640471274,1.654684098,,,
2,0.625,0.125,0.25,0.125,0.125,0.75,1.94625,1.19,2.12125,0.868601535,1.702711823,1.678849733,,,
3,0,0,1,0.125,0.25,0.625,2.53,1.19,2.09125,0.995875722,1.688953896,1.689499471,,1.6691,
4,0.25,0.625,0.125,0.125,0.25,0.625,2.08375,1.19,2.09125,0.8997092,1.700721958,1.704054874,,,
5,0.625,0.125,0.25,0.125,0.25,0.625,1.94625,1.19,2.09125,0.870078058,1.719295053,1.715889606,,,
6,0,0,1,0.25,0.125,0.625,2.53,1.19,2.0725,0.997535314,1.676161283,1.675348618,,1.7897,?
7,0.25,0.625,0.125,0.25,0.125,0.625,2.08375,1.19,2.0725,0.90081611,1.704426658,1.691298725,,,
8,0.625,0.125,0.25,0.25,0.125,0.625,1.94625,1.19,2.0725,0.871014675,1.718431579,1.704665164,,,
9,0,0,1,0.25,0.25,0.5,2.53,1.19,2.0425,1.000230706,1.817185274,1.76272889,,1.8208,
10,0.25,0.625,0.125,0.25,0.25,0.5,2.08375,1.19,2.0425,0.902613877,1.782060371,1.773576123,,,
11,0.625,0.125,0.25,0.25,0.25,0.5,1.94625,1.19,2.0425,0.872535862,1.782613643,1.780486418,,,
12,0,0,1,0.375,0.125,0.5,2.53,1.19,2.02375,1.001940881,2.042888107,1.906986268,,1.929,
13,0.25,0.625,0.125,0.375,0.125,0.5,2.08375,1.19,2.02375,0.903754525,2.021677329,1.912795552,,,
14,0.625,0.125,0.25,0.375,0.125,0.5,1.94625,1.19,2.02375,0.873501026,2.022230601,1.923832717,,,
15,0,0,1,0.125,0.375,0.5,2.53,1.19,2.06125,0.998540257,1.807930163,1.78661656,,1.7513,
16,0.25,0.625,0.125,0.125,0.375,0.5,2.08375,1.19,2.06125,0.901486385,1.77340896,1.783781145,,,
17,0.625,0.125,0.25,0.125,0.375,0.5,1.94625,1.19,2.06125,0.87158183,1.760179069,1.786463218,,,
18,0,0,1,0.25,0,0.75,2.53,1.19,2.1025,0.99488904,1.571188421,1.639614592,,1.7053,?
19,0.25,0.625,0.125,0.25,0,0.75,2.08375,1.19,2.1025,0.899051105,1.627314533,1.664674965,,,
20,0.625,0.125,0.25,0.25,0,0.75,1.94625,1.19,2.1025,0.869521209,1.684954413,1.682433368,,,
21,0,0,1,0.375,0,0.625,2.53,1.19,2.05375,0.999214091,1.639583671,1.699623965,,1.8949,?
22,0.25,0.625,0.125,0.375,0,0.625,2.08375,1.19,2.05375,0.901935817,1.674270426,1.712151316,,,
23,0.625,0.125,0.25,0.375,0,0.625,1.94625,1.19,2.05375,0.871962119,1.688737241,1.725517755,,,
24,0,0,1,0,0.375,0.625,2.53,1.19,2.11,0.994234989,1.739764415,1.741308107,,1.6964,
25,0.25,0.625,0.125,0,0.375,0.625,2.08375,1.19,2.11,0.898614868,1.746414305,1.739862171,,,
26,0.625,0.125,0.25,0,0.375,0.625,1.94625,1.19,2.11,0.869152085,1.751204236,1.745833037,,,
