num,name,doi
60,Schmidt,10.1021/acs.chemmater.7b00156
61,Li,10.1016/j.commatsci.2018.04.033
62,Liu,10.1016/j.commatsci.2020.109614
63,Li,10.3390/app9245510
64,Pilania,10.3389/fmats.2016.00019
65,Balachandran,10.1103/PhysRevMaterials.2.043802
66,Jain,10.1039/C9CP03240A
68,Gladkikh,10.1021/acs.jpcc.9b11768
75,Zhai,10.1016/j.commatsci.2018.04.031
76,Yang,10.7498/aps.68.20190942
79,Xiao,
91,Kim,10.1021/acs.jpcc.6b05068
97,Liu,10.1016/j.commatsci.2009.04.047
98,Kaneko,10.1016/j.jechem.2019.01.012
99,Zheng,
100,Lu,10.1002/smtd.201900360
