Feature,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,bandgap eV,checking,bandgap (Sona),measured/calculated,crystal or device (multilayer film structure),AB-,Link
rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg,Eg,Eg-type,,,
1,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,,,1.00,2.0200,correct,TRUE,calculated,crystal,"same article, correct",https://www.sciencedirect.com/science/article/pii/S0925838820348052
2,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,,0.33,0.67,2.1100,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
3,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,,0.67,0.33,2.1900,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
4,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,,1.00,0.00,2.4700,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
5,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,0.33,,0.67,2.1700,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
6,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,0.67,,0.33,2.3100,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
7,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,1.00,,0.00,2.9400,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
8,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,0.67,0.33,,2.6200,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
9,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,0.33,0.67,,2.5400,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
10,Cs,MA,FA,Pb,Cl,Br,I,1.0000,,,0.33,0.33,0.33,2.1900,correct,TRUE,calculated,crystal,same article,https://www.sciencedirect.com/science/article/pii/S0925838820348052
11,Cs,MA,FA,Pb,Cl,Br,I,,1,,1.00,0.00,,3.0700,correct,TRUE,,crystal,"same article, correct",Dopant compensation in alloyed CH3NH3PbBr3−xClx perovskite single crystals for gamma-ray spectroscopy | Nature Materials
12,Cs,MA,FA,Pb,Cl,Br,I,,1,,0.67,0.33,,2.8500,correct,TRUE,,crystal,same article,Dopant compensation in alloyed CH3NH3PbBr3−xClx perovskite single crystals for gamma-ray spectroscopy | Nature Materials
13,Cs,MA,FA,Pb,Cl,Br,I,,1,,0.05,0.95,,2.3250,correct,TRUE,,crystal,same article,Dopant compensation in alloyed CH3NH3PbBr3−xClx perovskite single crystals for gamma-ray spectroscopy | Nature Materials
14,Cs,MA,FA,Pb,Cl,Br,I,,1,,0.02,0.98,,2.3050,correct,TRUE,,crystal,same article,Dopant compensation in alloyed CH3NH3PbBr3−xClx perovskite single crystals for gamma-ray spectroscopy | Nature Materials
15,Cs,MA,FA,Pb,Cl,Br,I,,1,,0.00,1.00,,2.3000,correct,TRUE,,crystal,same article,Dopant compensation in alloyed CH3NH3PbBr3−xClx perovskite single crystals for gamma-ray spectroscopy | Nature Materials
16,Cs,MA,FA,Pb,Cl,Br,I,,1,,,1.00,0.00,2.2750,correct,TRUE,,film,"same article, correct",Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
17,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.84,0.16,2.1050,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
18,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.71,0.29,2.0250,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
19,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.58,0.42,1.9100,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
20,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.47,0.53,1.7950,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
21,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.38,0.62,1.7750,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
22,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.29,0.71,1.7200,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
23,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.20,0.80,1.6750,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
24,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.13,0.87,1.6400,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
25,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.06,0.94,1.6100,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
26,Cs,MA,FA,Pb,Cl,Br,I,,1,,,0.00,1.00,1.5800,correct,TRUE,,film,same article,Progress on Perovskite Materials and Solar Cells with Mixed Cations and Halide Anions | ACS Applied Materials & Interfaces
27,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.00,1.00,1.4700,correct,TRUE,,crsytal,"same article, correct",A Review on Energy Band‐Gap Engineering for Perovskite Photovoltaics - Hu - 2019 - Solar RRL - Wiley Online Library
28,Cs,MA,FA,Pb,Cl,Br,I,,,1.0000,,0.10,0.90,1.5300,correct,TRUE,,crsytal,same article,High Throughput Engineering of Hybrid Perovskite Semiconductors for Photovoltaic Applications (fau.de)
