,rownum,A1,A2,A3,B,C1,C2,C3,xA,yA,zA,xC,yC,zC,Eg,Eg-type,rA1,rA2,rA3,rA,rB,rC1,rC2,rC3,rC,TF,OF,duplicated
10,11.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,1.0,0.0,0.0,3.07,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.81,0.9357379737701979,0.6574585635359116,0
11,12.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.67,0.33,0.0,2.85,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.8595000000000002,0.932026793565938,0.6399569776821725,0
12,13.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.05,0.95,0.0,2.325,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.9525,0.9253704495241611,0.6094750320102433,0
13,14.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.02,0.98,0.0,2.305,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.9569999999999999,0.9250583470432209,0.6080735820132857,0
14,15.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,1.0,0.0,2.3,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.96,0.9248507741233574,0.6071428571428571,0
15,16.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,1.0,0.0,2.275,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.96,0.9248507741233574,0.6071428571428571,0
16,17.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.84,0.16,2.105,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,1.9984,0.9222283398839981,0.5954763811048839,0
17,18.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.71,0.29,2.025,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.0296,0.9201436732697104,0.5863224280646433,0
18,19.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.58,0.42,1.91,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.0608,0.9180990224043867,0.5774456521739131,0
19,20.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.47,0.53,1.795,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.0872,0.916399341222844,0.5701418167880413,0
20,21.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.38,0.62,1.775,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.1088,0.9150289279523264,0.5643019726858877,0
21,22.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.29,0.71,1.72,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.1304,0.9136763444171676,0.5585805482538491,0
22,23.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.2,0.8,1.675,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.152,0.9123412449061619,0.5529739776951672,0
23,24.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.13,0.87,1.64,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.1688,0.9113147059665139,0.5486905201032829,0
24,25.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.06,0.94,1.61,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.1856,0.9102983849757853,0.5444729136163983,0
25,26.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.0,1.0,1.58,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.2,0.9094352701986275,0.5409090909090909,1
26,27.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.0,1.0,1.47,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.2,0.9866121165228229,0.5409090909090909,0
27,28.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.1,0.9,1.53,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.176,0.9886050244396589,0.5468749999999999,0
28,29.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.17,0.83,1.63,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.1592000000000002,0.9900170543234079,0.5511300481659873,0
29,30.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.2,0.8,1.55,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.152,0.9906265558095199,0.5529739776951672,0
30,31.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.3,0.7,1.65,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.128,0.9926773317561597,0.5592105263157894,0
31,32.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.33,0.67,1.72,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.1208,0.9932983623119473,0.5611090154658619,0
32,33.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.4,0.6,1.74,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.104,0.994757991505301,0.5655893536121672,0
33,34.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.5,0.5,1.79,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.08,0.9968691930489245,0.5721153846153846,0
34,35.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.6,0.4,1.85,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.056,0.9990116138390348,0.5787937743190661,0
35,36.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.67,0.33,1.94,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.0392,1.0005302565953094,0.583562181247548,0
36,37.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.7,0.3,1.89,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.032,1.0011859515124237,0.5856299212598425,0
37,38.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.8,0.2,1.95,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.008,1.0033929246480777,0.5926294820717131,0
38,39.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.83,0.17,2.11,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.0008,1.004061490597972,0.5947620951619352,0
39,40.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.9,0.1,2.05,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,1.984,1.0056332735589397,0.5997983870967741,0
40,41.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,1.0,0.0,2.2,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,1.96,1.0079077611198726,0.6071428571428571,1
41,42.0,Cs,MA,FA,Pb,Cl,Br,I,1.0,0.0,0.0,0.0,0.0,1.0,1.73,,1.67,2.16,2.53,1.67,1.19,1.81,1.96,2.2,2.2,0.8072280953368551,0.5409090909090909,1
42,43.0,Cs,MA,FA,Pb,Cl,Br,I,0.25,0.75,0.0,0.0,0.0,1.0,1.64,,1.67,2.16,2.53,2.0375,1.19,1.81,1.96,2.2,2.2,0.8838834764831844,0.5409090909090909,0
43,44.0,Cs,MA,FA,Pb,Cl,Br,I,0.15,0.85,0.0,0.0,0.0,1.0,1.63,,1.67,2.16,2.53,2.0865,1.19,1.81,1.96,2.2,2.2,0.8941041939693616,0.5409090909090909,0
44,45.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.9,0.0,0.0,0.0,1.0,1.61,,1.67,2.16,2.53,2.111,1.19,1.81,1.96,2.2,2.2,0.8992145527124502,0.5409090909090909,0
45,46.0,Cs,MA,FA,Pb,Cl,Br,I,0.05,0.95,0.0,0.0,0.0,1.0,1.6,,1.67,2.16,2.53,2.1355,1.19,1.81,1.96,2.2,2.2,0.9043249114555387,0.5409090909090909,0
46,47.0,Cs,MA,FA,Pb,Cl,Br,I,0.04,0.96,0.0,0.0,0.0,1.0,1.59,,1.67,2.16,2.53,2.1404,1.19,1.81,1.96,2.2,2.2,0.9053469832041566,0.5409090909090909,0
47,48.0,Cs,MA,FA,Pb,Cl,Br,I,0.03,0.97,0.0,0.0,0.0,1.0,1.583,,1.67,2.16,2.53,2.1453,1.19,1.81,1.96,2.2,2.2,0.9063690549527742,0.5409090909090909,0
48,49.0,Cs,MA,FA,Pb,Cl,Br,I,0.02,0.98,0.0,0.0,0.0,1.0,1.58,,1.67,2.16,2.53,2.1502,1.19,1.81,1.96,2.2,2.2,0.907391126701392,0.5409090909090909,0
49,50.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.0,1.0,1.574,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.2,0.9094352701986275,0.5409090909090909,1
50,51.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.0,1.0,0.0,0.0,1.0,1.52,,1.67,2.16,2.53,2.53,1.19,1.81,1.96,2.2,2.2,0.9866121165228229,0.5409090909090909,1
51,52.0,Cs,MA,FA,Pb,Cl,Br,I,0.1,0.0,0.9,0.0,0.0,1.0,1.51,,1.67,2.16,2.53,2.4439999999999995,1.19,1.81,1.96,2.2,2.2,0.9686737144042261,0.5409090909090909,0
52,53.0,Cs,MA,FA,Pb,Cl,Br,I,0.2,0.0,0.8,0.0,0.0,1.0,1.53,,1.67,2.16,2.53,2.358,1.19,1.81,1.96,2.2,2.2,0.9507353122856292,0.5409090909090909,0
53,54.0,Cs,MA,FA,Pb,Cl,Br,I,0.25,0.0,0.75,0.0,0.0,1.0,1.57,,1.67,2.16,2.53,2.315,1.19,1.81,1.96,2.2,2.2,0.941766111226331,0.5409090909090909,0
54,55.0,Cs,MA,FA,Pb,Cl,Br,I,0.3,0.0,0.7,0.0,0.0,1.0,1.565,,1.67,2.16,2.53,2.272,1.19,1.81,1.96,2.2,2.2,0.9327969101670324,0.5409090909090909,0
55,56.0,Cs,MA,FA,Pb,Cl,Br,I,0.35,0.0,0.65,0.0,0.0,1.0,1.575,,1.67,2.16,2.53,2.2289999999999996,1.19,1.81,1.96,2.2,2.2,0.9238277091077343,0.5409090909090909,0
56,57.0,Cs,MA,FA,Pb,Cl,Br,I,1.0,0.0,0.0,0.0,0.0,1.0,1.72,,1.67,2.16,2.53,1.67,1.19,1.81,1.96,2.2,2.2,0.8072280953368551,0.5409090909090909,0
57,58.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,1.0,0.0,0.0,0.0,1.0,1.5,,1.67,2.16,2.53,2.16,1.19,1.81,1.96,2.2,2.2,0.9094352701986275,0.5409090909090909,1
58,59.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.9,0.1,0.0,0.0,1.0,1.5,,1.67,2.16,2.53,2.197,1.19,1.81,1.96,2.2,2.2,0.917152954831047,0.5409090909090909,0
59,60.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.8,0.2,0.0,0.0,1.0,1.5,,1.67,2.16,2.53,2.234,1.19,1.81,1.96,2.2,2.2,0.9248706394634666,0.5409090909090909,0
60,61.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.7,0.3,0.0,0.0,1.0,1.48,,1.67,2.16,2.53,2.271,1.19,1.81,1.96,2.2,2.2,0.9325883240958861,0.5409090909090909,0
61,62.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.6,0.4,0.0,0.0,1.0,1.47,,1.67,2.16,2.53,2.308,1.19,1.81,1.96,2.2,2.2,0.9403060087283055,0.5409090909090909,0
62,63.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.5,0.5,0.0,0.0,1.0,1.47,,1.67,2.16,2.53,2.3449999999999998,1.19,1.81,1.96,2.2,2.2,0.948023693360725,0.5409090909090909,0
63,64.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.4,0.6,0.0,0.0,1.0,1.46,,1.67,2.16,2.53,2.3819999999999997,1.19,1.81,1.96,2.2,2.2,0.9557413779931446,0.5409090909090909,0
64,65.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.3,0.7,0.0,0.0,1.0,1.46,,1.67,2.16,2.53,2.4189999999999996,1.19,1.81,1.96,2.2,2.2,0.9634590626255641,0.5409090909090909,0
65,66.0,Cs,MA,FA,Pb,Cl,Br,I,0.0,0.2,0.8,0.0,0.0,1.0,1.46,,1.67,2.16,2.53,2.456,1.19,1.81,1.96,2.2,2.2,0.9711767472579839,0.5409090909090909,0
