,xA,yA,zA,xC,yC,zC,A1,A2,A3,B,C1,C2,C3,rA1,rA2,rA3,rB,rC1,rC2,rC3,rA,rC,TF,OF
0,0.0,0.0,1.0,0.0,0.0,1.0,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.2,0.9866121165228229,0.5409090909090909
1,0.0,0.0,1.0,0.0,0.05,0.95,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1879999999999997,0.987605030680323,0.5438756855575869
2,0.0,0.0,1.0,0.0,0.1,0.9,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.176,0.9886050244396589,0.5468749999999999
3,0.0,0.0,1.0,0.0,0.15,0.85,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.164,0.9896121737894019,0.5499075785582255
4,0.0,0.0,1.0,0.0,0.2,0.8,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.152,0.9906265558095199,0.5529739776951672
5,0.0,0.0,1.0,0.0,0.25,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.14,0.9916482486910441,0.5560747663551401
6,0.0,0.0,1.0,0.0,0.3,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.128,0.9926773317561597,0.5592105263157894
7,0.0,0.0,1.0,0.0,0.35,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.116,0.9937138854787354,0.5623818525519848
8,0.0,0.0,1.0,0.0,0.4,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.104,0.994757991505301,0.5655893536121672
9,0.0,0.0,1.0,0.0,0.45,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.092,0.9958097326764846,0.5688336520076481
10,0.0,0.0,1.0,0.0,0.5,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.08,0.9968691930489245,0.5721153846153846
11,0.0,0.0,1.0,0.0,0.55,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.068,0.9979364579176627,0.5754352030947775
12,0.0,0.0,1.0,0.0,0.6,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.056,0.9990116138390348,0.5787937743190661
13,0.0,0.0,1.0,0.0,0.65,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.044,1.0000947486540717,0.5821917808219178
14,0.0,0.0,1.0,0.0,0.7,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.032,1.0011859515124237,0.5856299212598425
15,0.0,0.0,1.0,0.0,0.75,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.02,1.0022853128968197,0.5891089108910891
16,0.0,0.0,1.0,0.0,0.8,0.2,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.008,1.0033929246480777,0.5926294820717131
17,0.0,0.0,1.0,0.0,0.85,0.15,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.996,1.0045088799906823,0.5961923847695391
18,0.0,0.0,1.0,0.0,0.9,0.1,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.984,1.0056332735589397,0.5997983870967741
19,0.0,0.0,1.0,0.0,0.95,0.05,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,1.972,1.0067662014237306,0.603448275862069
20,0.0,0.0,1.0,0.05,0.0,0.95,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1805,0.9882291923391876,0.5457463884430177
21,0.0,0.0,1.0,0.05,0.05,0.9,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1685000000000003,0.9892336493687638,0.5487664284067326
22,0.0,0.0,1.0,0.05,0.1,0.85,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1565000000000003,0.9902453100345899,0.5518200788314397
23,0.0,0.0,1.0,0.05,0.15,0.8,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1445000000000003,0.9912642521087168,0.5549079039403123
24,0.0,0.0,1.0,0.05,0.2,0.75,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1325000000000003,0.9922905544867652,0.5580304806565064
25,0.0,0.0,1.0,0.05,0.25,0.7,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1205,0.9933242972082884,0.5611883989625088
26,0.0,0.0,1.0,0.05,0.3,0.65,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.1085000000000003,0.9943655614775808,0.564382262271757
27,0.0,0.0,1.0,0.05,0.35,0.6,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0965,0.9954144296849421,0.5676126878130218
28,0.0,0.0,1.0,0.05,0.4,0.55,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0845000000000002,0.9964709854284083,0.5708803070280641
29,0.0,0.0,1.0,0.05,0.45,0.5,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0725000000000002,0.9975353135359647,0.5741857659831121
30,0.0,0.0,1.0,0.05,0.5,0.45,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0605,0.9986075000882468,0.57752972579471
31,0.0,0.0,1.0,0.05,0.55,0.4,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0485,0.9996876324417501,0.5809128630705394
32,0.0,0.0,1.0,0.05,0.6,0.35,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0365,1.000775799252555,0.5843358703658237
33,0.0,0.0,1.0,0.05,0.65,0.3,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0245,1.001872090500585,0.5877994566559643
34,0.0,0.0,1.0,0.05,0.7,0.25,Cs,MA,FA,Pb,Cl,Br,I,1.67,2.16,2.53,1.19,1.81,1.96,2.2,2.53,2.0125,1.0029765975144083,0.5913043478260869
