,rownum,xA,yA,zA,xC,yC,zC,rA,rB,rC,TF,Eg,duplicated,predicted,test,error
0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,2.16,1.19,1.81,0.935737973770198,3.07,0,1.5195600090842694,1.0,0.5050293130018666
1,12.0,0.0,1.0,0.0,0.67,0.33,0.0,2.16,1.19,1.8595,0.932026793565938,2.85,0,1.5139270993166265,,0.46879750901171
2,13.0,0.0,1.0,0.0,0.05,0.95,0.0,2.16,1.19,1.9525,0.9253704495241613,2.325,0,1.5033456751095307,,0.3533997096303094
3,14.0,0.0,1.0,0.0,0.02,0.98,0.0,2.16,1.19,1.957,0.9250583470432208,2.305,0,1.5028337217895,,0.3480114005251627
4,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.16,1.19,1.96,0.9248507741233574,2.3,0,1.5024924221119142,1.0,0.3467424251687329
5,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.16,1.19,1.96,0.9248507741233574,2.275,0,1.5024924221119145,,0.3395637705002573
6,17.0,0.0,1.0,0.0,0.0,0.84,0.16,2.16,1.19,1.9984,0.922228339883998,2.105,0,1.5243524716186059,,0.27584205623819197
7,18.0,0.0,1.0,0.0,0.0,0.71,0.29,2.16,1.19,2.0296,0.9201436732697104,2.025,0,1.5421139976126144,,0.23846222340117806
8,19.0,0.0,1.0,0.0,0.0,0.58,0.42,2.16,1.19,2.0608,0.9180990224043868,1.91,0,1.5598757284320501,,0.18331113694657059
9,20.0,0.0,1.0,0.0,0.0,0.47,0.53,2.16,1.19,2.0872,0.916399341222844,1.795,0,1.5749050409263348,,0.12261557608560734
10,21.0,0.0,1.0,0.0,0.0,0.38,0.62,2.16,1.19,2.1088,0.9150289279523264,1.775,0,1.587201854724055,1.0,0.10580177198644787
22,33.0,0.0,0.0,1.0,0.0,0.4,0.6,2.53,1.19,2.104,0.994757991505301,1.74,0,1.5477552595899513,,0.11048548299428086
23,34.0,0.0,0.0,1.0,0.0,0.5,0.5,2.53,1.19,2.08,0.9968691930489244,1.79,0,1.5340951455591618,,0.14296360583287052
24,35.0,0.0,0.0,1.0,0.0,0.6,0.4,2.53,1.19,2.056,0.9990116138390348,1.85,0,1.5204351913278424,,0.1781431398227879
25,36.0,0.0,0.0,1.0,0.0,0.67,0.33,2.53,1.19,2.0392,1.0005302565953094,1.94,0,1.5108733203545774,,0.22119931940485696
26,37.0,0.0,0.0,1.0,0.0,0.7,0.3,2.53,1.19,2.032,1.0011859515124235,1.89,0,1.5067754004669314,1.0,0.20276433837728494
27,38.0,0.0,0.0,1.0,0.0,0.8,0.2,2.53,1.19,2.008,1.0033929246480775,1.95,0,1.4931157766545613,,0.23429960171560957
28,39.0,0.0,0.0,1.0,0.0,0.83,0.17,2.53,1.19,2.0008,1.004061490597972,2.11,0,1.4890179226488456,,0.29430430206215846
29,40.0,0.0,0.0,1.0,0.0,0.9,0.1,2.53,1.19,1.984,1.0056332735589395,2.05,0,1.4794563236801135,,0.27831398844872507
